Wine,Price,ParkerPoints,CoatesPoints,P95andAbove,FirstGrowth,CultWine,Pomerol,VintageSuperstar
Lafite,2850,100,19.5,1,1,0,0,0
Latour,2850,98,18.5,1,1,0,0,0
Margaux,2900,100,19.5,1,1,0,0,0
Mouton,2500,97,17,1,1,0,0,0
Haut Brion,2500,98,18.5,1,1,0,0,0
Cheval Blanc,3650,100,19.5,1,1,0,0,0
Ausone,4200,100,18.5,1,1,0,0,1
Petrus,10500,100,18.5,1,1,1,0,0
Pichon-Lalande,880,97,16.5,1,0,0,0,0
Pichon-Baron,550,96,17.5,1,0,0,0,0
Duhart-Milon,210,90,16,0,0,0,0,0
Batailley,150,87,15.5,0,0,0,0,0
Haut-Batailley,180,90,16.5,0,0,0,0,0
Grand-Puy-Lacoste,380,92,18,0,0,0,0,0
Lynch-Bages,620,95,16,1,0,0,0,0
Pontet-Canet,330,92,16.5,0,0,0,0,0
D'Armailhac,210,91,15.5,0,0,0,0,0
Clerc-Millon,225,91,16,0,0,0,0,0
Leoville-Las-Cases,1300,100,18.5,1,0,0,0,0
Leoville-Poyferre,465,95,17.5,1,0,0,0,0
Leoville-Barton,780,96,18.5,1,0,0,0,0
Gruaud-Larose,520,94,17,0,0,0,0,0
Ducru-Beaucaillou,680,94,18.5,0,0,0,0,0
Lagrange,260,93,15,0,0,0,0,0
Langoa-Barton,240,91,17,0,0,0,0,0
Saint-Pierre,180,89,16.5,0,0,0,0,0
Talbot,330,90,17,0,0,0,0,0
Beychevelle,240,91,16.5,0,0,0,0,0
Rauzan-Segla,420,90,17.5,0,0,0,0,0
Durfort-Vivens,180,88,17,0,0,0,0,0
Lascombes,230,90,17,0,0,0,0,0
Brane-Cantenac,255,92,16.5,0,0,0,0,0
Malescot,275,92,18,0,0,0,0,0
Palmer,900,95,18,1,0,0,0,0
Prieure-Lichine,180,88,15,0,0,0,0,0
Montrose,560,97,17.5,1,0,0,0,0
Calon-Segur,500,95,17.5,1,0,0,0,0
Haut-Marbuzet,225,87,17,0,0,0,0,0
Haut-Bailly,265,90,17.5,0,0,0,0,0
Domaine de Chevalier,260,90,18,0,0,0,0,0
La Mission Haut-Brion,2500,100,18,1,0,0,0,1
Pape-Clement,380,95,17,1,0,0,0,0
La Tour Haut-Brion,310,92,17,0,0,0,0,0
Angelus,980,96,18,1,1,0,0,0
Beau-Sejour-Becot,380,93,17,0,0,0,0,0
Beausejour,450,92,17.5,0,0,0,0,0
Belair,250,87,16.5,0,0,0,0,0
Canon,360,89,18,0,0,0,0,0
Clos Fourtet,325,90,15,0,0,0,0,0
Figeac,520,93,18,0,0,0,0,0
La Gaffeliere,280,90,15.5,0,0,0,0,0
Magdelaine,350,92,18,0,0,0,0,0
Pavie,1600,100,14.5,1,1,0,0,0
Trottevieille,250,89,15,0,0,0,0,0
La Mondotte,2400,98,18,1,0,1,0,0
Troplong-Mondot,450,96,17.5,1,0,0,0,0
Pavie-Macquin,520,95,17.5,1,0,0,0,0
Tertre-Roteboeuf,1300,96,17.5,1,0,0,0,0
De Valandraud,1620,93,16.5,0,0,1,0,0
Trotanoy,800,92,18.5,0,0,0,1,0
La Fleur-Petrus,500,95,18,1,0,0,1,0
Latour-a-Pomerol,350,91,17.5,0,0,0,1,0
Vieux. Ch. Certan,840,94,18,0,0,0,1,0
Certran de May,550,91,16,0,0,0,1,0
La Conseillante,1250,96,17.5,1,0,0,1,0
L'Evangile,1500,96,18,1,0,0,1,0
Le Pin,10500,98,17.5,1,0,1,1,0
Lafleur,5000,100,18,1,0,1,1,0
Gazin,300,90,16,0,0,0,1,0
Clinet,700,92,15.5,0,0,0,1,0
L'Eglise-Clinet,1400,96,18,1,0,0,1,0
Clos L'Eglise,1220,96,17,1,0,0,1,0
