Name,Yeart,Teamt,FGAt,FGt,Team(t-1),FGAtM1,FGtM1,FGAtM2,FGtM2
Adam Vinatieri,2003,NE,34,73.5,NE,30,90,,
Adam Vinatieri,2004,NE,33,93.9,NE,34,73.5,30,90
Adam Vinatieri,2005,NE,25,80,NE,33,93.9,34,73.5
Adam Vinatieri,2006,IND,19,89.4,NE,25,80,33,93.9
David Akers,2003,PHI,29,82.7,PHI,34,88.2,,
David Akers,2004,PHI,32,84.3,PHI,29,82.7,34,88.2
David Akers,2005,PHI,22,72.7,PHI,32,84.3,29,82.7
David Akers,2006,PHI,12,83.3,PHI,22,72.7,32,84.3
Jason Elam,2003,DEN,31,87,DEN,36,72.2,,
Jason Elam,2004,DEN,34,85.2,DEN,31,87,36,72.2
Jason Elam,2005,DEN,32,75,DEN,34,85.2,31,87
Jason Elam,2006,DEN,15,86.6,DEN,32,75,34,85.2
Jason Hanson,2003,DET,23,95.6,DET,28,82.1,,
Jason Hanson,2004,DET,28,85.7,DET,23,95.6,28,82.1
Jason Hanson,2005,DET,24,79.1,DET,28,85.7,23,95.6
Jason Hanson,2006,DET,17,82.3,DET,24,79.1,28,85.7
Jay Feely,2003,ATL,27,70.3,ATL,40,80,,
Jay Feely,2004,ATL,23,78.2,ATL,27,70.3,40,80
Jay Feely,2005,NYG,42,83.3,ATL,23,78.2,27,70.3
Jay Feely,2006,NYG,17,76.4,NYG,42,83.3,23,78.2
Jeff Reed,2003,PIT,32,71.8,PIT,19,89.4,,
Jeff Reed,2004,PIT,33,84.8,PIT,32,71.8,19,89.4
Jeff Reed,2005,PIT,29,82.7,PIT,33,84.8,32,71.8
Jeff Reed,2006,PIT,16,68.7,PIT,29,82.7,33,84.8
Jeff Wilkins,2003,STL,42,92.8,STL,25,76,,
Jeff Wilkins,2004,STL,24,79.1,STL,42,92.8,25,76
Jeff Wilkins,2005,STL,31,87,STL,24,79.1,42,92.8
Jeff Wilkins,2006,STL,26,88.4,STL,31,87,24,79.1
John Carney,2003,NO,30,73.3,NO,35,88.5,,
John Carney,2004,NO,27,81.4,NO,30,73.3,35,88.5
John Carney,2005,NO,32,78.1,NO,27,81.4,30,73.3
John Carney,2006,NO,17,88.2,NO,32,78.1,27,81.4
John Hall,2003,WAS,33,75.7,NYJ,31,77.4,,
John Hall,2004,WAS,11,72.7,WAS,33,75.7,31,77.4
John Hall,2005,WAS,14,85.7,WAS,11,72.7,33,75.7
John Hall,2006,WAS,11,81.8,WAS,14,85.7,11,72.7
Kris Brown,2003,HOU,22,81.8,HOU,24,70.8,,
Kris Brown,2004,HOU,24,70.8,HOU,22,81.8,24,70.8
Kris Brown,2005,HOU,34,76.4,HOU,24,70.8,22,81.8
Kris Brown,2006,HOU,15,73.3,HOU,34,76.4,24,70.8
Matt Stover,2003,BAL,38,86.8,BAL,25,84,,
Matt Stover,2004,BAL,32,90.6,BAL,38,86.8,25,84
Matt Stover,2005,BAL,34,88.2,BAL,32,90.6,38,86.8
Matt Stover,2006,BAL,16,100,BAL,34,88.2,32,90.6
Mike Vanderjagt,2003,IND,37,100,IND,31,74.1,,
Mike Vanderjagt,2004,IND,25,80,IND,37,100,31,74.1
Mike Vanderjagt,2005,IND,25,92,IND,25,80,37,100
Mike Vanderjagt,2006,DAL,15,80,IND,25,92,25,80
Neil Rackers,2003,ARZ,12,75,CIN,18,83.3,,
Neil Rackers,2004,ARZ,29,75.8,ARZ,12,75,18,83.3
Neil Rackers,2005,ARZ,42,95.2,ARZ,29,75.8,12,75
Neil Rackers,2006,ARZ,19,68.4,ARZ,42,95.2,29,75.8
Olindo Mare,2003,MIA,29,75.8,MIA,31,77.4,,
Olindo Mare,2004,MIA,16,75,MIA,29,75.8,31,77.4
Olindo Mare,2005,MIA,30,83.3,MIA,16,75,29,75.8
Olindo Mare,2006,MIA,22,63.6,MIA,30,83.3,16,75
Phil Dawson,2003,CLE,21,85.7,CLE,28,78.5,,
Phil Dawson,2004,CLE,29,82.7,CLE,21,85.7,28,78.5
Phil Dawson,2005,CLE,29,93.1,CLE,29,82.7,21,85.7
Phil Dawson,2006,CLE,17,88.2,CLE,29,93.1,29,82.7
Rian Lindell,2003,BUF,24,70.8,SEA,29,79.3,,
Rian Lindell,2004,BUF,28,85.7,BUF,24,70.8,29,79.3
Rian Lindell,2005,BUF,35,82.8,BUF,28,85.7,24,70.8
Rian Lindell,2006,BUF,16,87.5,BUF,35,82.8,28,85.7
Ryan Longwell,2003,GB,26,88.4,GB,34,82.3,,
Ryan Longwell,2004,GB,28,85.7,GB,26,88.4,34,82.3
Ryan Longwell,2005,GB,27,74,GB,28,85.7,26,88.4
Ryan Longwell,2006,MIN,18,83.3,GB,27,74,28,85.7
Sebastian Janikowski,2003,OAK,25,88,OAK,33,78.7,,
Sebastian Janikowski,2004,OAK,28,89.2,OAK,25,88,33,78.7
Sebastian Janikowski,2005,OAK,30,66.6,OAK,28,89.2,25,88
Sebastian Janikowski,2006,OAK,13,84.6,OAK,30,66.6,28,89.2
Shayne Graham,2003,CIN,25,88,CAR,18,72.2,,
Shayne Graham,2004,CIN,31,87,CIN,25,88,18,72.2
Shayne Graham,2005,CIN,32,87.5,CIN,31,87,25,88
Shayne Graham,2006,CIN,19,84.2,CIN,32,87.5,31,87
