District,%Repeating 1st Grade,%Low income students,Year,County
Alvin,4.1,49.7,2004,Brazoria
Alvin,5.8,41.1,1994,Brazoria
Angleton,7.1,44.2,2004,Brazoria
Angleton,6.7,30.2,1994,Brazoria
Brazosport,7.3,49.4,2004,Brazoria
Brazosport,2.6,33.7,1994,Brazoria
Columbia-Brazoria,8.2,45.6,2004,Brazoria
Columbia-Brazoria,2.3,29.7,1994,Brazoria
Damon,12.5,71.7,2004,Brazoria
Damon,0,37.6,1994,Brazoria
Danbury,4.3,26.8,2004,Brazoria
Danbury,5.6,19.8,1994,Brazoria
Pearland,1,19.1,2004,Brazoria
Pearland,3.2,17.5,1994,Brazoria
Sweeny,6.1,38.4,2004,Brazoria
Sweeny,10.9,27.9,1994,Brazoria
Anahuac,6.7,48.5,2004,Chambers
Anahuac,17.2,50.1,1994,Chambers
BarbersHill,2.5,18.9,2004,Chambers
BarbersHill,5,18.6,1994,Chambers
EastChambers,6,46.3,2004,Chambers
EastChambers,1.9,36.3,1994,Chambers
FortBend,4,28.8,2004,FortBend
FortBend,3.9,21.8,1994,FortBend
Kendleton,8.3,98.1,2004,FortBend
Kendleton,0,80.4,1994,FortBend
LamarConsolidated,10.3,45.2,2004,FortBend
LamarConsolidated,0.3,47.1,1994,FortBend
Needville,13.9,28,2004,FortBend
Needville,8.1,26.4,1994,FortBend
Stafford,6.3,41.6,2004,FortBend
Stafford,0.6,30.8,1994,FortBend
ClearCreek,2,18.6,2004,Galveston
ClearCreek,1.2,11,1994,Galveston
Dickinson,5,59.4,2004,Galveston
Dickinson,3,45.4,1994,Galveston
Friendswood,0,3.2,2004,Galveston
Friendswood,2.9,3.3,1994,Galveston
Galveston,9.1,64.8,2004,Galveston
Galveston,10.9,50.9,1994,Galveston
HighIsland,0,48.8,2004,Galveston
HighIsland,0,47.5,1994,Galveston
Hitchcock,13.8,66.9,2004,Galveston
Hitchcock,0,53.9,1994,Galveston
LaMarque,9.8,62.6,2004,Galveston
LaMarque,9.1,39.4,1994,Galveston
SantaFe,6.7,25.6,2004,Galveston
SantaFe,7.4,23.6,1994,Galveston
TexasCity,6.5,55.7,2004,Galveston
TexasCity,11.2,23.9,1994,Galveston
Aldine,11.1,77.8,2004,Harris
Aldine,18.4,58,1994,Harris
Alief,4.3,65.3,2004,Harris
Alief,2.9,37.9,1994,Harris
Channelview,4,64.9,2004,Harris
Channelview,1.7,48.2,1994,Harris
Crosby,1.5,41,2004,Harris
Crosby,0.5,34.1,1994,Harris
Cypress-Fairbanks,2.6,28.7,2004,Harris
Cypress-Fairbanks,3.2,17.2,1994,Harris
DeerPark,5.2,32,2004,Harris
DeerPark,1.2,19.8,1994,Harris
GalenaPark,7,75.3,2004,Harris
GalenaPark,6.8,39.5,1994,Harris
GooseCreek,4.8,58.8,2004,Harris
GooseCreek,7.6,44.5,1994,Harris
Houston,10.2,82.8,2004,Harris
Houston,4.8,58.3,1994,Harris
Huffman,7.1,26.4,2004,Harris
Huffman,4,20.1,1994,Harris
Humble,3.7,20.6,2004,Harris
Humble,3.2,10.7,1994,Harris
Katy,5.5,20.3,2004,Harris
Katy,3.1,10.8,1994,Harris
Klein,3.4,26.9,2004,Harris
Klein,3.1,13,1994,Harris
LaPorte,4.1,33.7,2004,Harris
LaPorte,0.4,21.4,1994,Harris
NorthForest,8.8,94.8,2004,Harris
NorthForest,8.6,67.2,1994,Harris
Pasadena,12.4,66.7,2004,Harris
Pasadena,4.8,52.1,1994,Harris
Sheldon,10.1,72.2,2004,Harris
Sheldon,9.2,45.7,1994,Harris
Spring,7,52.5,2004,Harris
Spring,9.1,24.1,1994,Harris
SpringBranch,6.8,54.3,2004,Harris
SpringBranch,5.4,48.1,1994,Harris
Tomball,4,19.6,2004,Harris
Tomball,1.2,11.2,1994,Harris
Cleveland,14.1,64.8,2004,Liberty
Cleveland,5.8,50.5,1994,Liberty
Dayton,4.7,45.9,2004,Liberty
Dayton,11.1,29.4,1994,Liberty
Devers,5.9,45.2,2004,Liberty
Devers,0,53.2,1994,Liberty
Hardin,4.2,48.5,2004,Liberty
Hardin,12.7,39.8,1994,Liberty
Hull-Daisetta,17.1,51.1,2004,Liberty
Hull-Daisetta,3,48.3,1994,Liberty
Liberty,7.7,53.6,2004,Liberty
Liberty,4,40.8,1994,Liberty
Tarkington,6,32.8,2004,Liberty
Tarkington,6,31.2,1994,Liberty
Conroe,5.2,30.2,2004,Montgomery
Conroe,2.9,25.4,1994,Montgomery
Magnolia,3.5,32,2004,Montgomery
Magnolia,8.8,32.3,1994,Montgomery
Montgomery,12,22.8,2004,Montgomery
Montgomery,1.9,29.4,1994,Montgomery
NewCaney,8.3,51.2,2004,Montgomery
NewCaney,9.2,38.7,1994,Montgomery
Splendora,7.8,59.5,2004,Montgomery
Splendora,11.7,44.2,1994,Montgomery
Willis,14.1,50,2004,Montgomery
Willis,9.4,54.2,1994,Montgomery
Hempstead,1,63.2,2004,Waller
Hempstead,10.6,55.9,1994,Waller
Royal,4.6,79.4,2004,Waller
Royal,7.5,66.1,1994,Waller
Waller,6.1,49.8,2004,Waller
Waller,10.3,39.7,1994,Waller
