Production,CurrentWeek,LastWeek
42nd Street,684966,695437
Avenue Q,502367,498969
Beauty and Beast,594474,598576
Bombay Dreams,529298,528994
Chicago,570254,562964
Dracula,319959,282778
Fiddler on the Roof,579126,583177
Forever Tango,134042,152833
Golda's Balcony,105853,105698
Hairspray,822775,836959
Mamma Mia!,949462,970190
Movin' Out,610007,651808
Rent,386797,378238
The Lion King,1133034,1113510
The Phantom of the Opera,627609,614246
The Producers,911727,933822
Wicked,1180266,1202536
Wonderful Town,479155,488624
